ID,Road,Latitude,Longitude,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99,X100
I212,A6,42.7688724,-7.088391,0,2,0,1,3,2,2,2,0,2,3,2,0,1,1,2,0,2,3,3,3,0,0,2,3,2,0,2,2,2,2,0,0,1,3,0,3,0,2,3,2,1,3,1,3,2,3,3,2,1,3,2,2,3,2,2,3,3,0,1,3,0,1,0,0,0,0,0,1,0,0,1,1,3,1,1,0,1,1,1,2,1,1,3,0,1,1,0,1,1,2,2,3,3,0,0,1,3,0,1
I213,A6,42.8601826,-7.1316925,3,0,3,2,0,0,2,2,1,1,2,2,3,1,1,2,1,2,1,3,2,2,3,3,1,2,1,0,2,2,1,1,0,3,0,3,0,0,1,3,0,2,3,1,1,2,2,2,0,2,1,0,1,0,2,0,0,1,2,1,1,3,3,1,3,0,3,1,3,0,2,3,2,2,2,1,3,0,0,0,0,0,0,1,3,2,3,1,1,1,1,3,0,1,1,0,2,0,2,3
I214,A6,42.9856181,-7.5020093,1,3,0,0,2,1,3,1,1,1,3,3,1,0,0,3,2,0,1,1,2,1,3,1,2,2,0,1,0,1,1,2,1,2,1,0,0,0,0,1,1,0,0,0,3,3,0,3,0,2,3,1,1,3,1,3,3,3,1,2,3,2,0,1,0,0,0,2,3,1,1,3,1,1,3,0,1,2,3,2,0,0,2,1,3,2,3,0,0,1,0,1,1,1,2,1,0,0,3,3
I215,A6,43.0106337,-7.5169652,2,1,1,2,3,1,1,1,3,0,0,3,2,0,1,3,2,1,0,3,3,0,3,2,3,3,1,3,0,0,3,0,1,3,3,1,3,3,0,2,2,0,1,0,1,1,0,1,2,2,2,2,3,1,1,0,1,2,2,2,3,0,3,2,1,3,1,1,3,1,0,3,3,0,2,1,0,2,3,0,2,3,2,3,1,0,0,3,3,3,2,3,3,1,0,0,1,0,3,3
I216,A6,43.0361724,-7.5215142,2,3,1,2,0,1,3,3,1,3,2,1,1,1,2,2,3,2,2,3,2,3,1,2,3,1,1,3,3,3,3,0,1,2,3,3,2,2,0,1,2,2,2,3,0,1,2,0,2,3,3,3,0,1,1,1,3,1,1,2,2,1,2,0,1,1,1,3,1,1,2,2,3,1,1,3,2,1,1,0,0,1,0,3,0,2,2,3,2,2,0,0,1,2,1,3,0,2,2,1
I217,A6,43.0940344,-7.5906508,0,1,3,2,2,2,3,3,2,1,3,1,3,2,2,0,3,1,3,1,0,0,3,3,2,1,2,3,1,1,0,3,2,3,1,0,3,3,1,1,0,2,2,0,1,1,0,2,1,0,0,0,2,3,1,1,1,2,2,3,0,0,1,1,2,3,2,3,0,1,3,2,1,2,0,3,1,1,0,2,1,1,3,3,1,0,0,1,3,2,2,1,3,1,3,3,1,3,3,1
I218,A6,43.1531724,-7.6755375,3,1,0,2,1,0,2,3,3,1,1,0,1,1,1,2,2,3,1,3,2,0,3,2,0,0,2,0,1,2,1,1,1,2,1,0,2,3,3,3,3,3,1,0,0,2,2,1,0,1,3,0,3,2,0,1,2,2,2,0,2,2,2,0,0,0,1,1,3,3,3,3,0,3,1,1,3,1,1,1,3,3,1,0,1,0,0,0,0,2,1,2,1,0,0,0,3,3,0,3
I219,A6,43.1736912,-7.782976,3,0,1,0,3,3,0,1,2,0,0,0,3,2,1,2,3,3,0,3,0,1,3,0,0,1,0,3,2,2,3,3,2,0,3,1,1,1,0,1,2,2,0,1,2,3,2,3,0,2,0,3,0,0,3,0,2,1,3,0,3,1,1,0,2,1,2,1,2,2,3,2,3,1,1,1,3,2,2,2,1,1,2,2,1,2,2,2,3,0,2,0,1,0,0,2,3,0,2,1
I220,A6,43.185677,-7.8323538,0,1,3,2,3,3,1,1,3,2,1,0,3,1,3,3,3,0,3,3,3,1,3,3,3,1,1,2,1,3,1,0,3,2,2,1,1,1,2,3,2,2,3,2,2,2,2,3,2,1,0,0,2,3,2,1,2,2,0,1,0,0,3,1,0,1,0,1,2,0,0,2,2,3,1,2,1,0,1,1,1,3,2,0,2,0,3,1,1,3,2,2,3,1,3,0,0,3,3,1
I221,A6,43.1880082,-7.9222828,0,3,0,2,0,2,1,2,3,2,0,0,0,0,3,3,0,2,2,2,2,3,0,2,0,3,3,3,0,2,3,1,0,2,0,0,0,3,1,3,1,2,0,3,0,3,1,3,3,3,1,2,1,1,0,3,1,3,0,2,0,2,2,2,2,3,1,0,3,3,1,3,2,3,0,1,3,1,1,0,0,3,0,3,3,3,2,2,2,0,2,1,0,2,3,0,0,1,0,2
I222,A6,43.190308,-7.9737169,3,3,3,3,2,3,3,0,1,2,0,1,1,0,0,1,0,3,0,3,2,3,2,2,2,0,3,3,0,3,0,3,2,2,0,0,2,1,3,1,1,3,2,3,0,3,2,1,2,0,3,1,3,3,2,3,1,3,0,2,1,2,3,0,3,1,3,2,2,3,1,1,1,1,3,3,1,0,1,0,3,1,1,1,2,1,1,3,2,2,2,1,3,0,0,2,2,0,2,1
I223,A6,43.2191495,-8.0533893,3,1,0,2,3,3,3,2,3,2,2,1,3,3,3,2,3,3,3,2,2,1,1,0,2,3,1,1,3,1,2,0,1,3,3,2,3,0,0,2,1,3,0,0,3,3,1,2,2,2,2,0,1,0,1,0,2,0,2,1,0,1,2,0,0,1,0,2,1,2,2,2,3,3,1,3,3,2,0,3,2,0,1,3,1,0,3,0,3,2,1,3,2,3,1,3,1,2,0,3
I224,A6,43.2433196,-8.1722218,3,2,1,2,2,3,3,2,1,3,1,1,2,2,0,3,3,1,0,2,1,1,1,0,1,2,1,1,0,1,3,0,1,0,0,3,0,0,1,0,3,3,2,1,1,1,0,2,2,0,1,1,1,2,1,2,3,3,0,0,3,2,2,1,2,0,3,0,2,3,3,0,1,0,0,2,3,0,0,0,0,1,2,2,1,3,2,3,0,0,2,2,3,3,2,3,0,3,1,3
